City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Garden City,US,42.3256,-83.331,283.68,99,100,0.0,fog
1,Bandarbeyla,SO,9.4942,50.8122,299.53,64,24,10.07,few clouds
2,Charters Towers,AU,-20.1,146.2667,300.11,48,97,6.26,overcast clouds
3,Mitsamiouli,KM,-11.3847,43.2844,299.31,83,75,4.12,shower rain
4,Aquin,HT,18.2833,-73.4,295.36,81,5,1.61,clear sky
5,Turukhansk,RU,65.8167,87.9833,244.4,93,95,2.99,overcast clouds
6,Buribay,RU,51.9617,58.1592,273.61,97,100,7.52,overcast clouds
7,Nata,PA,8.3333,-80.5167,295.39,89,54,2.36,broken clouds
8,Rockland,US,41.1668,-74.0496,286.89,97,100,3.01,overcast clouds
9,Darnah,LY,32.767,22.6367,290.02,61,69,6.53,broken clouds
10,Mizur,RU,42.8531,44.0531,281.8,59,0,1.27,clear sky
11,Quelimane,MZ,-17.8786,36.8883,305.12,66,75,1.03,broken clouds
12,Jieshi,CN,22.8134,115.8257,289.48,77,16,10.24,few clouds
13,Filadelfia,US,39.9523,-75.1638,289.21,90,100,5.14,overcast clouds
14,Bulawayo,ZW,-20.15,28.5833,300.03,47,67,3.2,light rain
15,Namatanai,PG,-3.6667,152.4333,299.6,80,99,5.38,light rain
16,Treinta Y Tres,UY,-33.2333,-54.3833,292.69,38,10,3.7,clear sky
17,Ostrovnoy,RU,68.0531,39.5131,269.19,78,100,12.77,light snow
18,Saryozek,KZ,44.3583,77.9753,270.1,90,92,3.65,overcast clouds
19,Vilhena,BR,-12.7406,-60.1458,292.55,99,100,1.5,overcast clouds
20,Cefalu,IT,38.0386,14.0229,289.01,74,0,0.45,clear sky
21,Kyra,RU,49.5776,111.9753,247.69,94,4,1.32,clear sky
22,Bubaque,GW,11.2833,-15.8333,297.83,54,61,3.85,broken clouds
23,Ixtapa,MX,20.7,-105.2,292.72,87,0,1.09,clear sky
24,West Plains,US,36.7281,-91.8524,276.61,74,0,3.13,clear sky
25,Bourail,NC,-21.5667,165.4833,297.39,73,92,1.96,overcast clouds
26,Ponnani,IN,10.767,75.9252,303.77,49,4,3.64,clear sky
27,Takaka,NZ,-40.85,172.8,289.57,89,100,1.58,light rain
28,Dese,ET,11.1333,39.6333,290.76,27,0,3.37,clear sky
29,Dakar,SN,14.6937,-17.4441,299.64,29,0,1.03,clear sky
30,Mach,PK,29.8637,67.3298,288.46,14,0,1.3,clear sky
31,Rudraprayag,IN,30.2833,78.9833,292.73,21,0,2.54,clear sky
32,Malanville,BJ,11.8685,3.3899,299.95,21,50,6.05,scattered clouds
33,Lashio,MM,22.9333,97.75,294.64,47,0,1.18,clear sky
34,Santa Marta,CO,11.2408,-74.199,297.03,82,6,5.72,clear sky
35,Nelson Bay,AU,-32.7167,152.15,294.82,95,72,3.58,moderate rain
36,Salina Cruz,MX,16.1667,-95.2,296.01,87,4,1.01,clear sky
37,Idah,NG,7.1065,6.7342,307.14,17,78,2.93,broken clouds
38,Kichmengskiy Gorodok,RU,59.9816,45.7854,258.26,96,91,2.32,overcast clouds
39,Sivas,TR,39.7916,37.0019,279.5,33,0,1.54,clear sky
40,Hilton Head Island,US,32.2163,-80.7526,291.21,97,100,4.12,overcast clouds
41,Manaus,BR,-3.1019,-60.025,297.43,94,0,2.06,clear sky
42,Nyagan,RU,62.1406,65.3936,259.83,97,100,1.56,overcast clouds
43,Benghazi,LY,32.1167,20.0667,290.85,55,79,4.96,broken clouds
44,Kohlu,PK,29.8962,69.252,287.38,12,0,0.3,clear sky
45,Farah,AF,32.5,62.5,284.23,20,0,1.21,clear sky
46,Tomatlan,MX,19.9333,-105.25,291.48,83,0,1.53,clear sky
